datetime,city,temp,text
2021-05-15 14:23:48,Singapore,29,Thunderstorms
2021-05-15 14:20:09,Sydney,16,Breezy
2021-05-15 14:10:31,Singapore,29,Thunderstorms
2021-05-15 11:23:48,Singapore,28,Scattered Thunderstorms
2021-05-15 11:20:10,Sydney,17,Mostly Cloudy
2021-05-15 08:23:48,Singapore,27,Thunderstorms
2021-05-15 08:20:10,Sydney,16,Sunny
2021-05-15 08:10:31,Singapore,27,Thunderstorms
2021-05-15 05:23:48,Singapore,27,Thunderstorms
2021-05-15 05:20:10,Sydney,12,Partly Cloudy
2021-05-15 02:23:48,Singapore,27,Thunderstorms
2021-05-15 02:20:10,Sydney,12,Clear
2021-05-15 02:10:31,Singapore,27,Thunderstorms
2021-05-14 23:23:48,Singapore,28,Thunderstorms
2021-05-14 23:20:10,Sydney,12,Clear
2021-05-14 20:23:48,Singapore,28,Cloudy
2021-05-14 20:20:09,Sydney,14,Clear
2021-05-14 20:10:32,Singapore,28,Thunderstorms
2021-05-14 17:23:48,Singapore,28,Scattered Thunderstorms
2021-05-14 17:20:10,Sydney,15,Breezy
2021-05-14 14:23:48,Singapore,28,Scattered Thunderstorms
2021-05-14 14:20:10,Sydney,20,Sunny
2021-05-14 14:10:32,Singapore,28,Thunderstorms
2021-05-14 11:23:48,Singapore,28,Scattered Thunderstorms
2021-05-14 11:20:10,Sydney,18,Breezy
2021-05-14 08:23:48,Singapore,27,Thunderstorms
2021-05-14 08:20:09,Sydney,17,Breezy
2021-05-14 08:10:32,Singapore,27,Thunderstorms
2021-05-14 05:23:48,Singapore,27,Thunderstorms
2021-05-14 05:20:10,Sydney,15,Clear
2021-05-14 02:23:48,Singapore,28,Cloudy
2021-05-14 02:20:10,Sydney,15,Clear
2021-05-14 02:10:30,Singapore,27,Cloudy
2021-05-13 23:23:48,Singapore,28,Thunderstorms
2021-05-13 23:20:09,Sydney,17,Clear
2021-05-13 20:23:48,Singapore,28,Thunderstorms
2021-05-13 20:20:10,Sydney,18,Clear
2021-05-13 20:10:31,Singapore,28,Thunderstorms
2021-05-13 17:23:48,Singapore,28,Thunderstorms
2021-05-13 17:20:10,Sydney,19,Partly Cloudy
2021-05-13 14:23:48,Singapore,28,Thunderstorms
2021-05-13 14:20:10,Sydney,22,Sunny
2021-05-13 14:10:32,Singapore,29,Thunderstorms
2021-05-13 11:23:48,Singapore,28,Cloudy
2021-05-13 11:20:10,Sydney,22,Sunny
2021-05-13 08:23:48,Singapore,27,Thunderstorms
2021-05-13 08:20:10,Sydney,17,Mostly Sunny
2021-05-13 08:10:32,Singapore,27,Thunderstorms
2021-05-13 05:23:48,Singapore,27,Thunderstorms
2021-05-13 05:20:09,Sydney,14,Partly Cloudy
2021-05-13 02:23:48,Singapore,28,Thunderstorms
2021-05-13 02:20:10,Sydney,15,Partly Cloudy
2021-05-13 02:10:30,Singapore,27,Cloudy
2021-05-12 23:23:48,Singapore,28,Cloudy
2021-05-12 23:20:10,Sydney,18,Showers
2021-05-12 20:23:48,Singapore,28,Mostly Cloudy
2021-05-12 20:20:10,Sydney,17,Partly Cloudy
2021-05-12 20:10:31,Singapore,28,Mostly Cloudy
2021-05-12 17:23:48,Singapore,29,Cloudy
2021-05-12 17:20:10,Sydney,18,Partly Cloudy
2021-05-12 14:23:48,Singapore,28,Cloudy
2021-05-12 14:20:10,Sydney,19,Partly Cloudy
2021-05-12 14:10:31,Singapore,28,Thunderstorms
2021-05-12 11:23:48,Singapore,27,Showers
2021-05-12 11:20:09,Sydney,19,Mostly Cloudy
